,0
0,-0.5250449993938034
1,-0.6373710986462909
2,-0.6994028697125648
3,-0.7613079338653617
4,-0.8022310689213854
5,-0.8307193523483737
6,-0.8469177340925041
7,-0.8577170517166166
8,-0.8623377432587223
